Monthly Gas Data Collection in APEC Region

Sector : Imports
Energy : of which:pipeline
Unit : TJ

Member/Month	Jan.2006	Feb.2006	Mar.2006	Apr.2006	May2006	Jun.2006	Jul.2006	Aug.2006	Sep.2006	Oct.2006	Nov.2006	Dec.2006	Jan.2007	Feb.2007	Mar.2007	Apr.2007	May2007	Jun.2007	Jul.2007	Aug.2007	Sep.2007	Oct.2007	Nov.2007	Dec.2007	Jan.2008	Feb.2008	Mar.2008	Apr.2008	May2008	Jun.2008	Jul.2008	Aug.2008	Sep.2008	Oct.2008	Nov.2008	Dec.2008	Jan.2009	Feb.2009	Mar.2009	Apr.2009	May2009	Jun.2009	Jul.2009	Aug.2009	Sep.2009	Oct.2009	Nov.2009	Dec.2009	Jan.2010	Feb.2010	Mar.2010	Apr.2010	May2010	Jun.2010	Jul.2010	Aug.2010	Sep.2010	Oct.2010	Nov.2010	Dec.2010	Jan.2011	Feb.2011	Mar.2011	Apr.2011	May2011	Jun.2011	Jul.2011	Aug.2011	Sep.2011	Oct.2011	Nov.2011	Dec.2011	Jan.2012	Feb.2012	Mar.2012	Apr.2012	May2012	Jun.2012	Jul.2012	Aug.2012	Sep.2012	Oct.2012	Nov.2012	Dec.2012	Jan.2013	Feb.2013	Mar.2013	Apr.2013	May2013	Jun.2013	Jul.2013	Aug.2013	Sep.2013	Oct.2013	Nov.2013	Dec.2013	Jan.2014	Feb.2014	Mar.2014	Apr.2014	May2014	Jun.2014	Jul.2014	Aug.2014	Sep.2014	Oct.2014	Nov.2014	Dec.2014	Jan.2015	Feb.2015	Mar.2015	Apr.2015	May2015	Jun.2015	Jul.2015	Aug.2015	Sep.2015	Oct.2015	Nov.2015	Dec.2015	Jan.2016	Feb.2016	Mar.2016	Apr.2016	May2016	Jun.2016	Jul.2016	Aug.2016	Sep.2016	Oct.2016	Nov.2016	Dec.2016	Jan.2017	Feb.2017	Mar.2017	Apr.2017	May2017	Jun.2017	Jul.2017	Aug.2017	Sep.2017	Oct.2017	Nov.2017	Dec.2017	Jan.2018	Feb.2018	Mar.2018	Apr.2018	May2018	Jun.2018	Jul.2018	Aug.2018	Sep.2018	Oct.2018	Nov.2018	Dec.2018	Jan.2019	Feb.2019	Mar.2019	Apr.2019	May2019	Jun.2019	Jul.2019	Aug.2019	Sep.2019	Oct.2019	Nov.2019	Dec.2019	Jan.2020	Feb.2020	Mar.2020	Apr.2020	May2020	Jun.2020	Jul.2020	Aug.2020	Sep.2020	Oct.2020	Nov.2020	Dec.2020	Jan.2021	Feb.2021	Mar.2021	Apr.2021	May2021	Jun.2021	Jul.2021	Aug.2021	Sep.2021	Oct.2021	Nov.2021	Dec.2021	Jan.2022	Feb.2022	Mar.2022	Apr.2022	May2022	Jun.2022	Jul.2022	Aug.2022	Sep.2022	Oct.2022	Nov.2022	Dec.2022	Jan.2023	Feb.2023	Mar.2023	Apr.2023	May2023	Jun.2023	Jul.2023	Aug.2023	Sep.2023	Oct.2023	Nov.2023	Dec.2023	Jan.2024	Feb.2024	Mar.2024	Apr.2024	May2024	Jun.2024	Jul.2024	Aug.2024	Sep.2024	Oct.2024	Nov.2024	Dec.2024
Mexico	-	-	-	-	-	-	-	17502	10870	10870	13092	11652	12610	9531	9821	9192	12209	12674	13812	13526	14676	18649	14787	15044	24245	20907	27358	41848	45288	36786	46601	38989	44399	43201	35743	29715	38196	35715	32518	36888	40780	40784	42373	39942	36934	41080	38954	39400	44465	14341	25692	22973	24480	23850	29627	30452	26919	27301	38622	53201	29462	27634	25385	29353	28699	29931	29195	23481	22779	25199	22365	25381	27539	26378	20390	32267	37208	40458	40274	40409	40004	43040	35583	36698	41658	36347	39670	41107	43997	40285	42630	42622	35693	39324	33970	32422	37193	38842	44177	39347	43428	45084	46608	45195	44412	42801	33302	33112	36268	34534	39583	45818	41594	43351	0	72688	63427	76831	46478	73952	54943	54382	57114	55640	66573	58135	62033	71363	74013	81135	98404	91857	67475	61561	61125	49073	59704	58526	57250	58471	50517	52077	54963	56385	55367	46590	48781	48467	50639	50639	36855	36835	34493	42262	33157	31015	35933	32258	35859	32157	34588	34341	32543	31243	29570	30390	27706	26754	30238	26796	28590	25188	23469	26759	31215	30595	28126	30754	28685	28642	31918	27823	33783	30491	32315	32315	32968	32519	25948	29406	26288	24002	22687	18347	20884	20998	23954	19226	14068	17152	14301	17077	12779	9582	9586	8406	12026	9559	13105	17607	16796	17344	19405	19405	19637	21123	24878	22131	21168	22407	22593	23832	28641	30123	27152	-	-	-
New Zealand	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	-	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-
Papua New Guinea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Peru	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Philippines	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Russia	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	34868	0	38232	0	38232	30586	26762	29752	29699	33579	24786	25417	9692	23696	24904	14509	23413	27776	28861	28571	25784	28552	26338	28773	23849	26063	26835	19464	25394	27825	28594	29358	26236	28849	26063	27795	24468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29756	27959	NA	23673	NA	25191	25856	25787	17919	25027	25971	27435	26877	27519	30792	24549	23257	26197	26067	25837	17174	27271	28510	29320	28529	27366	29871	25252	26862	27374	27737	25420	19839	29527	30024	30758	30953	27990	31488	25279	27095	25107	28269	28873	17801	29588	31281	32696	32688	30991	32826	23019	25268	28380	25810	24683	20871	31113	32493	33426	31293	28265	30983	26231	28376	0	28131	28724	17698	27110	30368	31289	33717	30157	33338	31293	33021	32363	28708	31985	15595	22993	31530	34076	33954	31083	33675	26923	29286	29825	30142	31511	14341	20515	33029	34114	34042	32035	33354	27397	30131	28448	27359	28181	12242	21043	32987	36324	36324	31694	31060	25975	30337	27626	24866	20309	9153	14704	31163	30429	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Singapore	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33594	32296	32484	33859	31706	31580	30640	30842	30185	28029	30818	28616	30490	32296	32036	31480	31100	31870	29136	30306	30704	26909	29999	29191	29768	29675	30622	30145	28814	29593	31083	31083	31534	28951	32225	29678	30479	29338	30578	31041	29202	30014	30014	30269	29340	26057	30004	27250	29567	30028	31006	29406	28981	29574	30349	30968	30349	27744	30911	29008	29973	25522	26948	28927	27197	30587	30460	33921	32440	26874	28268	24044	23809	22876	23826	22735	25971	26828	30996	35022	34091	32783	28279	23675	23783	26047	24351	23821	23821	29091	27609	30390	32140	29697	31944	24883	26862	26930	29526	31222	31732	34330	32569	34469	28964	26568	29226	26846	27100	25858	25676	26246	23334	25175	25388	16130	23859	21418	21303	21430	23375	22497	19590	20150	20384	22164	20800	20635	19428	19150	19096	18065	19011	18740	21099	19491	21246	21583	-
Chinese Taipei	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Thailand	24301	24323	32638	28555	33104	31963	31115	32478	31026	30429	31673	27821	28913	27741	33415	28995	33224	32427	31259	31428	32723	33721	31900	28720	27440	30457	34120	23466	29073	28142	30451	31100	31023	30009	25079	22708	11346	23855	23416	27114	31688	31537	30219	33155	31709	34187	32030	21843	26830	31019	23704	30680	32764	29539	31656	29822	31308	29736	26829	28866	21823	25086	29407	29461	33407	32360	33875	32723	32733	25745	24851	21774	20796	26302	32273	19387	29151	31905	29891	30596	26385	32703	31292	29418	28405	22919	31609	20160	30304	27929	28636	30052	30292	31771	31183	26561	14039	20811	27715	26737	28885	26777	26010	35651	37346	35793	36102	32627	31970	31434	35746	35746	36276	35059	36154	35084	33441	28931	28541	31434	30095	24876	27475	28097	33458	30983	26236	31995	32256	33434	29628	27326	30361	22868	25257	26092	32410	31626	33918	32590	30577	29140	27684	27701	24116	23137	31963	26297	31310	30450	29790	29260	28771	28318	26900	22538	26391	26391	28920	25678	29844	27789	27026	22956	26336	27488	23412	16355	20214	23048	26342	20951	24850	25935	27467	26155	25746	23000	23464	20673	20618	24037	26029	20517	23862	26061	24199	24971	25775	21850	25674	22721	21713	24651	26970	21939	24294	23395	24480	21412	24356	25035	23916	20719	17693	19448	18082	17587	21091	20046	20923	20173	17816	19623	19006	18048	18446	17518	18545	16609	18969	17295	17704	17380	15939	16992	-	-
United States of America	-	-	-	-	-	-	-	394895	360884	360904	366492	413341	413439	385437	435031	411541	414444	413028	449768	457116	388902	368785	371812	423616	383309	370602	387642	343249	315157	305252	342712	349852	336859	347489	347146	395919	385101	346961	349542	345978	287636	306001	340372	349805	326913	282550	315801	376094	362106	347881	270182	289107	283938	284365	311247	306057	277891	274114	263828	338067	354096	313854	302693	266991	263917	256139	294422	268992	254238	253851	249010	297839	284664	271489	266336	266032	259322	269099	286127	282759	259034	261316	-	252240	282532	246660	256215	230858	246443	246381	243328	257427	258367	231260	223688	290677	315289	265522	252169	215457	219123	214195	216585	222113	213927	237651	244602	273093	297758	271494	273976	219971	219574	221648	233020	230372	197462	243703	0	0	0	0	260475	0	236086	243277	259350	274524	258279	248094	206325	269367	321339	276290	251058	265508	237421	250790	261812	252528	247985	226739	249175	249076	279711	302618	262168	278235	253890	224970	239378	256864	249767	224386	222087	221727	300912	266111	219356	234061	200369	216449	215085	241173	229460	232875	205042	269033	267585	250233	226129	200920	197579	196364	221877	224187	186074	214169	224687	280764	298571	286138	255174	224004	218498	223472	242987	237519	235390	245341	258743	269868	311555	272484	276132	263261	247543	245910	273434	250312	251338	253218	261667	311895	292873	257859	266792	236723	230648	248682	283964	274551	256355	257379	280542	306590	355655	285186	266051	247626	266150	275372	302921	291059	272810	294183	-	-
Vietnam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
